a,b,c,d,e,PM2.5
0.56096,-1.52642,-0.82684,0.33965,-0.48574,0.238938053
0.04646,-0.88779,-1.35189,0.21721,0.0283,0.353982301
-0.09711,-1.32661,-1.51517,0.0543,-0.33211,0.327433628
-0.18426,-1.51263,-0.92039,-0.44209,-0.09003,0.318584071
-0.24806,-1.11777,-0.78712,-0.09176,0.32613,0.283185841
-0.81195,-0.69355,-0.65416,0.58119,0.65629,0.256637168
-0.46055,-0.8396,-0.43567,0.9127,0.63612,0.230088496
-0.28046,-0.95584,-0.33524,0.8753,0.43229,0.185840708
1.52087,-0.85723,0.38238,-0.25836,-0.05431,0.17699115
2.43498,-0.06044,0.50291,-0.24791,-1.89078,0.274336283
1.2185,0.56971,-0.85324,-1.04334,0.2131,0.371681416
0.8063,0.99385,-1.59227,-1.05567,0.46783,0.398230088
0.7585,1.14562,-0.9283,-0.97228,0.56968,0.300884956
0.54569,1.62341,-1.03081,-0.37134,0.91223,0.336283186
0.48161,1.40944,-1.15597,-0.9851,0.91538,0.327433628
0.51975,1.33934,-1.10823,-1.02441,0.84322,0.407079646
1.68357,1.24279,-0.27802,-1.43009,-0.02255,0.380530973
1.95063,-0.24682,-0.68618,0.21551,-0.75432,0.442477876
0.99107,-0.05054,-0.75993,1.04684,-0.21455,0.407079646
0.15352,-0.05846,-0.88919,0.98906,0.14146,0.398230088
-0.2295,-0.16925,-0.96079,0.9803,0.3683,0.371681416
-0.36629,-0.22717,-0.94672,0.95621,0.44962,0.274336283
-0.27811,-0.37837,-1.00557,0.67495,0.29325,0.221238938
-0.38738,-0.37143,-1.05644,0.53214,0.38562,0.123893805
-0.67611,-0.09548,-1.20661,0.54015,0.30286,0.194690265
-0.87742,-0.21599,-1.15902,0.62686,0.58131,0.212389381
-0.86703,-0.15731,-0.98958,0.95405,0.63584,0.274336283
-0.97376,-0.42073,-0.95191,0.73419,0.65771,0.274336283
-0.90477,-0.7841,-0.9625,0.17801,0.44985,0.203539823
-0.79025,-1.24509,-1.01407,-0.49702,0.1216,0.168141593
-0.22707,-0.73793,-0.74178,-1.06336,0.38812,0.123893805
1.07014,-0.6103,0.34164,1.79344,-0.17227,0.123893805
2.98995,-1.03525,1.56497,0.54721,-1.03855,0.10619469
4.86364,0.11316,2.02255,-0.64674,-0.71202,0.203539823
0.26645,0.88185,-0.94221,-2.07531,0.73091,0.230088496
1.41363,1.04997,-0.54314,-1.32587,0.54566,0.309734513
1.89203,1.56967,0.1186,-0.33438,0.22358,0.345132743
1.19078,1.22375,-0.84811,-0.62071,0.53289,0.451327434
0.5545,1.12348,-1.36144,-1.35552,0.62217,0.477876106
0.8862,1.42292,-0.90227,-0.92735,0.68215,0.389380531
1.25896,0.27814,-1.2087,-1.26743,-0.25611,0.389380531
1.76195,-0.35312,-0.48419,0.52871,-0.60261,0.407079646
0.52273,-0.14005,-1.07099,0.60447,-0.12956,0.415929204
0.17087,-0.07333,-1.0354,0.52487,0.03294,0.292035398
0.46397,-0.46283,-0.96135,0.45238,0.10467,0.150442478
1.20248,-1.14,-0.65716,0.23409,-0.41009,0.17699115
0.51956,-0.44466,-0.54898,0.55299,0.09494,0.203539823
-0.13482,-0.27279,-0.75643,0.57226,0.33815,0.238938053
-0.21403,-0.58671,-0.84812,0.02901,0.26322,0.17699115
0.09691,-0.83152,-0.67796,0.27053,0.10102,0.230088496
0.01835,-0.77673,-0.63564,-0.17043,0.03384,0.247787611
-0.19447,-0.5837,-0.70458,-0.2232,0.3693,0.185840708
-0.20484,-0.82034,-0.68126,-0.1238,0.22354,0.150442478
-0.77694,-0.25749,-0.3051,0.47646,0.19949,0.132743363
-0.65972,-0.93636,-0.04668,-0.12665,0.32888,0.14159292
0.71639,-1.28468,1.38827,0.23481,-0.03616,0.079646018
3.33368,-2.23052,3.22792,1.62081,-0.84643,0.044247788
4.67902,-1.40197,4.04319,1.52561,-0.63743,0.088495575
1.83174,0.11246,1.42065,-0.68074,0.67392,0.150442478
0.95047,0.98355,0.52368,-0.93452,0.43366,0.203539823
0.16037,1.3667,-0.54838,-0.61557,1.03117,0.212389381
0.04782,1.13588,-0.45219,-1.44981,0.53244,0.265486726
0.42232,1.19347,-0.48691,-0.56633,1.17916,0.292035398
0.84179,1.01909,-0.31498,-0.84618,0.99525,0.327433628
2.05955,0.69086,0.36415,-1.36823,0.30155,0.309734513
1.47659,-0.88859,-0.73058,0.45843,-0.98274,0.407079646
1.35535,-0.86867,-0.46136,0.39698,-1.0129,0.362831858
1.93765,-1.26179,-0.06583,0.40546,-1.15619,0.371681416
0.902,-0.82234,-0.51599,0.54124,-0.65865,0.212389381
-0.50069,-0.24343,-1.07762,0.18813,-0.13356,0.265486726
0.1526,-1.03144,-1.16602,0.14368,-0.47845,0.212389381
0.28428,-1.20404,-0.87611,0.23899,-0.43722,0.336283186
0.26119,-1.34347,-0.83229,0.17048,-0.44276,0.247787611
0.14636,-1.48986,-0.59864,0.01346,-0.20052,0.247787611
1.19748,-1.02453,-0.57177,0.05965,1.2076,0.132743363
0.29084,-1.22853,-0.85206,0.5861,0.04325,0.185840708
0.02986,-1.26017,-0.99651,0.24316,-0.17947,0.203539823
0.0023,-1.24203,-1.0115,0.15526,-0.0061,0.221238938
-0.27609,-0.88643,-1.16606,0.11589,-0.13976,0.238938053
-0.14937,-0.79349,-1.40326,-0.10944,-0.3206,0.300884956
-0.09333,-0.33727,-1.31923,0.43056,-0.26224,0.433628319
-0.20288,0.01518,-1.36796,1.22238,-0.34993,0.451327434
0.07066,0.08731,-1.54389,0.87559,-0.6444,0.442477876
0.86647,1.29114,-1.31694,-1.00668,0.96541,0.407079646
0.96333,0.84814,-1.9431,-0.7166,-0.10173,0.566371681
0.92219,0.81169,-2.13998,-0.74512,-0.2954,0.566371681
0.8277,0.44089,-2.45806,-0.36028,-0.77609,0.557522124
0.75962,0.30884,-2.19926,-0.22868,-1.16804,0.495575221
1.29579,0.24301,-2.0657,-0.1879,-1.16136,0.504424779
1.38568,0.13399,-1.9063,0.53358,-1.40989,0.601769912
1.15449,-0.05043,-2.03184,0.27861,-1.29486,0.699115044
1.83083,-0.5493,-1.79779,0.14626,-1.44978,0.743362832
1.01612,0.03652,-2.13216,0.36093,-1.10188,0.805309735
0.95997,-0.21438,-1.95302,0.27238,-0.98711,0.672566372
0.98256,-0.67102,-1.79417,0.09497,-1.05091,0.761061947
0.91602,-1.01301,-1.90411,0.46349,-0.63101,0.734513274
0.70935,-1.03139,-1.77134,0.19185,-0.5439,0.716814159
0.57771,-0.39402,-1.61385,-0.48559,0.71448,0.716814159
0.67501,-0.79488,-2.21465,0.4923,-0.20382,0.681415929
0.42077,-0.80238,-2.11242,0.51728,-0.53657,0.725663717
0.63653,-0.07617,-1.70722,-0.40932,0.51519,0.672566372
0.31362,-0.7336,-2.17782,0.21976,-0.833,0.592920354
0.09357,0.10257,-2.14831,1.04518,-0.62049,0.628318584
0.0847,-0.27179,-2.20294,0.07276,-0.7728,0.584070796
0.63727,-0.65278,-1.62328,0.0619,-0.67397,0.592920354
0.4996,-0.42962,-1.55915,0.13638,-0.47666,0.513274336
0.48131,0.9064,-1.25692,-1.417,0.86651,0.504424779
0.40832,1.119,-1.61774,-1.50852,0.53572,0.575221239
1.31212,1.60318,-1.08571,-1.65999,0.01141,0.601769912
0.77575,1.62859,-1.81506,-1.94082,0.32814,0.646017699
0.52354,1.87788,-2.19996,-1.33064,0.49265,0.575221239
0.55079,1.70115,-2.33,-1.48024,0.40532,0.654867257
0.41234,0.48458,-2.74423,-0.47901,-1.20024,0.513274336
1.00753,-0.10488,-2.34508,-0.38254,-1.32363,0.513274336
0.45534,0.58413,-2.25313,0.88329,-0.87294,0.477876106
0.33823,0.35845,-2.21441,0.22563,-0.73473,0.628318584
0.34528,-0.14369,-1.99478,-0.33189,-0.60468,0.628318584
0.22878,-0.16456,-1.53814,0.36343,-0.12537,0.539823009
-0.11421,-0.25152,-1.57878,0.32603,0.12891,0.610619469
-0.23102,-0.26651,-1.56759,0.47951,0.23429,0.592920354
-0.30839,-0.29921,-1.5511,0.50797,0.20083,0.592920354
-0.177,-0.44716,-1.69315,-0.38526,0.2069,0.495575221
-0.07997,-0.59332,-1.60532,0.16802,0.25875,0.415929204
-0.29064,-0.37153,-1.6201,0.24402,0.13242,0.415929204
-0.27929,-0.33559,-1.5177,0.31036,0.2005,0.415929204
-0.31583,-0.23107,-1.71712,-0.20303,0.24131,0.380530973
-0.12959,-0.34879,-1.20129,0.64132,0.16829,0.318584071
0.08599,-0.49275,-1.00095,0.71862,-0.03683,0.318584071
4.9291,-1.46705,1.87859,1.75237,-1.60805,0.362831858
6.85957,-0.77159,3.49835,1.16391,-0.38699,0.407079646
